Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
PADLR Sandakan (SL),2017-2019,14,4,2,18,10,9.00,24,75.0,0,0,0,2,0
S Snater (NL),2018-2019,13,6,1,18,10,3.60,16,112.5,0,0,2,0,1
S Thuraisingam (CAN),2008-2008,3,2,1,18,15,18.00,24,75.0,0,0,0,1,0
JW Wilson (NZ),2005-2005,1,1,0,18,18,18.00,14,128.57,0,0,0,2,0
HN Ya France (NAM),2019-2019,6,3,0,18,13,6.00,20,90.0,0,0,1,1,1
TL Best (WI),2013-2014,6,1,1,17,17*,-,9,188.88,0,0,0,0,2
D Bishoo (WI),2011-2019,7,4,2,17,8,8.50,29,58.62,0,0,1,2,0
TA Blundell (NZ),2017-2018,3,2,1,17,14,17.00,21,80.95,0,0,0,0,0
LA Dawson (ENG),2016-2018,6,2,1,17,10,17.00,8,212.5,0,0,0,2,1
RR Emrit (WI),2018-2018,4,3,0,17,11,5.66,27,62.96,0,0,0,0,1
D Gim (NGA),2019-2019,6,4,2,17,9*,8.50,32,53.12,0,0,1,0,0
S Kizilkaya (TKY),2019-2019,4,4,0,17,8,4.25,28,60.71,0,0,1,3,0
L Louwrens (NAM),2019-2019,1,1,1,17,17*,-,15,113.33,0,0,0,1,1
JH Mensah (Ghana),2019-2019,2,2,0,17,16,8.50,10,170.0,0,0,0,1,1
LN Onyango (KENYA),2007-2010,5,4,2,17,5,8.50,21,80.95,0,0,0,0,0
TK Patel (USA),2019-2019,7,3,3,17,14*,-,18,94.44,0,0,0,1,0
K Pierre (WI),2018-2019,8,4,2,17,9*,8.50,23,73.91,0,0,0,2,0
